"","name","rating","address","area"
"1","AdChurch’s Chicken","","185-3675 Westminister Highway",""
"2","1. Hokkaido Ramen Santouka","4 star rating","1690 Robson Street","West End"
"3","2. Marutama Ramen","4.5 star rating","780 Bidwell Street","West End"
"4","3. Ramen Danbo","4 star rating","1833 W 4th Avenue","Kitsilano"
"5","4. Kintaro Ramen","4 star rating","788 Denman Street","West End"
"6","5. Motomachi Shokudo","4 star rating","740 Denman Street","West End"
"7","6. JINYA Ramen Bar","3.5 star rating","2129 West 41st Ave","Kerrisdale"
"8","7. Grand Noodle Emporium","3.5 star rating","841 Bidwell Street","UBC"
"9","8. Ramen TAKA notsume","3.5 star rating","6133 University Boulevard","West End"
"10","9. Gyo Para Gyoza & Ramen Bar","4 star rating","2120 W Broadway","Kitsilano"
"11","10. Saku","2 star rating","3763 W 10th Avenue","West End"
"12","11. Rajio Japanese Public House","4.5 star rating","871 Denman Street","Point Grey"
"13","12. Kingyo","4 star rating","2893 W Broadway","West End"
"14","13. The Kitchen","3.5 star rating","2620 Sasamat Street","Point Grey"
"15","14. Ramen House","4 star rating","1773 Robson Street","Kitsilano"
"16","15. Suika","3 star rating","1626 W Broadway","Fairview Slopes"
"17","16. Koi Ramen & Eatery","3 star rating","1231 Davie Street","Kitsilano"
"18","17. Nana’s Green Tea","4.5 star rating","3313 Shrum Lane","Kerrisdale"
"19","18. Ramen Koika","3.5 star rating","3132 W Broadway","West End"
"20","19. Raisu","4 star rating","2340 W 4th Avenue","Kitsilano"
"21","20. Chef Hung Taiwanese Beef Noodle","4 star rating","3347 W 4th Avenue","UBC"
"22","21. Hitoe Sushi Japanese Restaurant","4.5 star rating","2135 W 41st Avenue","Kitsilano"
"23","22. Guu with Garlic","4 star rating","6019 West Boulevard","West End"
"24","23. Chi Noodle Bar","4 star rating","1698 Robson Street","Kerrisdale"
"25","24. Mak N Ming","2.5 star rating","1120 Denman Street","Kitsilano"
"26","25. Jun Sushi Japanese Restaurant","4 star rating","3309 Broadway W","Kitsilano"
"27","26. Ryuu Japanese Kitchen","3.5 star rating","3211 W Broadway","YVR"
"28","27. Chi Men","4 star rating","1629 Yew Street","West End"
"29","28. Mukja Korean Cuisine","4 star rating","5555 W Boulevard","Kitsilano"
"30","29. The Rise Eatery","4 star rating","7899 Templeton Station Road","South Granville"
"31","30. China Lan Beef Noodle","4 star rating","3121 Granville Street","Kerrisdale"
